CLUSTER,CLUSTER_LATITUDE,CLUSTER_LONGITUDE,NUMBER_OF_CUSTOMERS_IN_A_CLUSTER,ITERATION,Key,NUMBER_OF_CLUSTERS
2,50.841699545454546,5.361451036954545,22,5,0,9
3,49.355455294117654,2.9273146313529406,17,5,0,9
4,49.307747272727276,5.039541795045455,22,5,0,9
5,50.124861666666675,5.087826967380953,21,5,0,9
6,50.93863590909091,3.145933556409091,22,5,0,9
7,49.301355,4.0769289326500004,20,5,0,9
8,51.10520750000001,4.469904433291667,24,5,0,9
0,50.04355947368422,3.8491194092105268,19,6,0,9
1,50.168924999999994,2.6582087943,20,6,0,9
2,50.87929976190476,5.350405408809524,21,6,0,9
3,49.43065970588236,2.999435296235294,17,6,0,9
4,49.307747272727276,5.039541795045455,22,6,0,9
5,50.14818666666668,5.048788860541667,24,6,0,9
6,50.92019875,3.0789044671,20,6,0,9
7,49.2882475,4.064211640800001,20,6,0,9
8,51.10252600000002,4.39630441972,25,6,0,9
0,50.01867952380954,3.8230911383809523,21,7,0,9
1,50.184060789473676,2.6288251033157892,19,7,0,9
2,50.90925695652174,5.3116086320869575,23,7,0,9
3,49.3509611764706,2.8917665705294113,17,7,0,9
4,49.307747272727276,5.039541795045455,22,7,0,9
5,50.16122600000001,5.06315542444,25,7,0,9
6,50.90970055555555,3.000244344111111,18,7,0,9
7,49.25869916666667,4.1006249932222225,18,7,0,9
8,51.09802700000001,4.3053227518799995,25,7,0,9
0,50.003692727272735,3.8395839979545454,22,8,0,9
1,50.184060789473676,2.6288251033157892,19,8,0,9
2,50.916984130434784,5.285076152695653,23,8,0,9
3,49.43065970588236,2.999435296235294,17,8,0,9
4,49.307747272727276,5.039541795045455,22,8,0,9
5,50.16125000000002,5.066736462000001,25,8,0,9
6,50.90932882352941,2.9562071478235294,17,8,0,9
7,49.24403805555556,4.064619586611112,18,8,0,9
8,51.09633700000001,4.26137845992,25,8,0,9
0,50.003692727272735,3.8395839979545454,22,9,0,9
1,50.184060789473676,2.6288251033157892,19,9,0,9
2,50.917930999999996,5.270184667880001,25,9,0,9
3,49.3509611764706,2.8917665705294113,17,9,0,9
4,49.307747272727276,5.039541795045455,22,9,0,9
5,50.16125000000002,5.066736462000001,25,9,0,9
6,50.90932882352941,2.9562071478235294,17,9,0,9
7,49.233389117647064,4.095606813470589,17,9,0,9
8,51.09711375000001,4.237700057500001,24,9,0,9
0,50.003692727272735,3.8395839979545454,22,10,0,9
1,50.184060789473676,2.6288251033157892,19,10,0,9
2,50.940794,5.2523309862000005,25,10,0,9
3,49.43065970588236,2.999435296235294,17,10,0,9
4,49.307747272727276,5.039541795045455,22,10,0,9
5,50.16125000000002,5.066736462000001,25,10,0,9
6,50.90932882352941,2.9562071478235294,17,10,0,9
7,49.24403805555556,4.064619586611112,18,10,0,9
8,51.08605260869565,4.207953841521739,23,10,0,9
0,50.003692727272735,3.8395839979545454,22,11,0,9
1,50.184060789473676,2.6288251033157892,19,11,0,9
2,50.953987,5.23936226268,25,11,0,9
3,49.3509611764706,2.8917665705294113,17,11,0,9
4,49.33434717391303,5.062864243434783,23,11,0,9
5,50.182473000000016,5.071395063880001,25,11,0,9
6,50.90932882352941,2.9562071478235294,17,11,0,9
7,49.233389117647064,4.095606813470589,17,11,0,9
8,51.08605260869565,4.207953841521739,23,11,0,9
0,50.003692727272735,3.8395839979545454,22,12,0,9
1,50.184060789473676,2.6288251033157892,19,12,0,9
2,50.97782099999999,5.218979354600001,25,12,0,9
3,49.43065970588236,2.999435296235294,17,12,0,9
4,49.33434717391303,5.062864243434783,23,12,0,9
5,50.182473000000016,5.071395063880001,25,12,0,9
6,50.90932882352941,2.9562071478235294,17,12,0,9
7,49.24403805555556,4.064619586611112,18,12,0,9
8,51.0728825,4.178377545,22,12,0,9
0,50.003692727272735,3.8395839979545454,22,13,0,9
1,50.184060789473676,2.6288251033157892,19,13,0,9
2,50.97782099999999,5.218979354600001,25,13,0,9
